Current Role,Target Role,Experience,Tech_Current,Tech_Target,Marketing_Current,Marketing_Target,Business_Current,Business_Target,Soft Skills_Current,Soft Skills_Target
Senior Software Developer,Lead Software Developer,9,2,4,2,2,3,5,4,5
Manager Project Manager,Director Project Manager,11,4,4,1,3,3,4,2,4
Senior Marketing Specialist,Lead Marketing Specialist,11,3,4,5,5,2,5,4,5
Specialist UX Designer,Manager UX Designer,6,4,4,2,3,1,4,1,3
Specialist Data Scientist,Manager Data Scientist,5,1,5,3,3,2,4,2,5
Lead UX Designer,Lead UX Designer,13,2,3,2,2,3,5,3,4
Director Software Developer,Director Software Developer,13,5,5,3,3,3,5,4,5
Mid-Level Data Scientist,Senior Data Scientist,7,1,1,3,4,1,2,2,4
Specialist Project Manager,Manager Project Manager,5,4,5,3,4,4,4,3,4
Manager Marketing Specialist,Director Marketing Specialist,10,1,5,1,1,3,5,2,3
Manager Marketing Specialist,Director Marketing Specialist,10,2,5,1,2,3,5,2,4
Analyst Marketing Specialist,Specialist Marketing Specialist,1,1,5,3,3,3,5,4,4
Lead Software Developer,Lead Software Developer,14,2,4,3,4,3,3,4,5
Director UX Designer,Director UX Designer,15,1,5,1,4,3,3,3,3
Mid-Level UX Designer,Senior UX Designer,5,2,4,3,5,2,2,1,3
Manager Software Developer,Director Software Developer,10,1,2,1,2,2,4,4,5
Director Software Developer,Director Software Developer,14,5,5,2,2,3,4,4,5
Senior Software Developer,Lead Software Developer,9,4,4,3,3,1,4,4,5
Lead Data Scientist,Lead Data Scientist,14,1,3,1,2,2,5,1,5
Director Data Scientist,Director Data Scientist,13,1,5,1,4,1,5,4,4
Senior Software Developer,Lead Software Developer,8,4,5,1,2,2,5,4,5
Lead Data Scientist,Lead Data Scientist,12,2,2,1,2,3,4,1,4
Director UX Designer,Director UX Designer,15,4,5,1,3,3,3,2,4
Director Project Manager,Director Project Manager,13,3,5,1,1,3,4,2,5
Director Project Manager,Director Project Manager,14,3,4,1,4,1,1,4,4
Analyst Marketing Specialist,Specialist Marketing Specialist,2,3,4,4,4,2,4,5,5
Director Data Scientist,Director Data Scientist,13,3,5,1,5,1,1,2,2
Director Marketing Specialist,Director Marketing Specialist,12,2,2,5,5,1,5,3,3
Specialist Data Scientist,Manager Data Scientist,5,4,5,2,2,2,2,4,4
Specialist Project Manager,Manager Project Manager,5,3,5,2,3,3,5,4,4
Director Data Scientist,Director Data Scientist,13,1,1,3,5,1,4,4,5
Director UX Designer,Director UX Designer,13,2,2,2,3,2,3,2,3
Mid-Level Project Manager,Senior Project Manager,4,3,5,1,4,5,5,2,5
Specialist Software Developer,Manager Software Developer,4,4,5,3,3,2,3,3,5
Senior Data Scientist,Lead Data Scientist,10,3,3,3,3,1,2,4,5
Director UX Designer,Director UX Designer,15,4,4,1,5,2,5,4,4
Director Data Scientist,Director Data Scientist,14,5,5,1,5,3,4,3,3
Specialist Marketing Specialist,Manager Marketing Specialist,7,2,4,4,5,2,4,1,1
Manager UX Designer,Director UX Designer,10,3,5,3,5,2,5,1,3
Junior Project Manager,Mid-Level Project Manager,3,2,4,2,2,3,3,4,5
Lead Software Developer,Lead Software Developer,14,2,5,2,5,1,3,1,4
Mid-Level Software Developer,Senior Software Developer,5,1,4,2,2,2,3,3,3
Mid-Level Data Scientist,Senior Data Scientist,5,1,3,3,4,3,3,1,5
Manager Marketing Specialist,Director Marketing Specialist,10,3,5,3,5,3,5,3,4
Senior UX Designer,Lead UX Designer,10,5,5,2,5,3,4,2,4
Junior Project Manager,Mid-Level Project Manager,2,2,2,1,1,4,4,4,4
Specialist UX Designer,Manager UX Designer,6,4,5,1,5,3,4,5,5
Specialist Software Developer,Manager Software Developer,5,2,2,1,5,2,3,2,3
Analyst Project Manager,Specialist Project Manager,3,3,5,2,4,2,5,3,4
Mid-Level Software Developer,Senior Software Developer,7,3,4,3,5,3,5,1,4
Analyst UX Designer,Specialist UX Designer,3,1,3,1,5,3,5,3,5
Manager Software Developer,Director Software Developer,11,5,5,1,5,3,3,2,4
Senior Project Manager,Lead Project Manager,10,2,4,2,3,3,5,4,4
Specialist Project Manager,Manager Project Manager,7,3,5,3,3,1,4,4,5
Analyst Data Scientist,Specialist Data Scientist,1,4,4,1,2,3,3,2,5
Specialist Marketing Specialist,Manager Marketing Specialist,7,3,5,2,5,3,4,5,5
Manager UX Designer,Director UX Designer,11,1,1,3,4,3,3,5,5
Mid-Level Marketing Specialist,Senior Marketing Specialist,6,3,5,5,5,2,4,4,5
Manager Project Manager,Director Project Manager,11,2,4,2,4,2,2,4,5
Senior Software Developer,Lead Software Developer,8,4,5,1,1,1,5,1,2
Mid-Level Marketing Specialist,Senior Marketing Specialist,5,1,3,1,4,3,5,4,4
Director UX Designer,Director UX Designer,12,3,3,1,5,2,4,1,4
Manager UX Designer,Director UX Designer,11,3,3,2,2,2,5,2,3
Manager UX Designer,Director UX Designer,8,4,4,3,5,1,2,5,5
Mid-Level UX Designer,Senior UX Designer,7,5,5,3,4,1,5,4,4
Analyst Marketing Specialist,Specialist Marketing Specialist,3,1,1,3,5,3,5,5,5
Manager Software Developer,Director Software Developer,9,5,5,1,2,3,4,3,5
Mid-Level Marketing Specialist,Senior Marketing Specialist,5,2,2,3,3,1,4,3,3
Analyst Data Scientist,Specialist Data Scientist,2,5,5,1,3,1,5,2,5
Senior UX Designer,Lead UX Designer,10,1,2,2,5,3,3,5,5
Specialist Data Scientist,Manager Data Scientist,6,3,5,1,5,1,3,1,3
Mid-Level Project Manager,Senior Project Manager,4,2,5,1,5,3,5,3,3
Mid-Level Data Scientist,Senior Data Scientist,6,3,4,3,4,3,4,2,5
Lead Project Manager,Lead Project Manager,12,4,5,3,5,5,5,5,5
Analyst Marketing Specialist,Specialist Marketing Specialist,1,3,4,2,4,1,2,4,5
Mid-Level Marketing Specialist,Senior Marketing Specialist,6,3,3,4,5,3,5,5,5
Mid-Level Data Scientist,Senior Data Scientist,4,3,5,2,4,2,2,4,5
Manager UX Designer,Director UX Designer,10,4,4,3,4,1,2,4,5
Senior Project Manager,Lead Project Manager,10,4,5,3,3,4,4,2,3
Mid-Level Marketing Specialist,Senior Marketing Specialist,4,2,3,5,5,3,5,1,4
Director UX Designer,Director UX Designer,14,3,3,2,2,3,4,4,5
Manager Marketing Specialist,Director Marketing Specialist,8,2,4,4,5,1,3,3,4
Senior Data Scientist,Lead Data Scientist,8,2,3,2,4,2,4,2,2
